sensor_id,geom_type,geo_feature,feature_type,buffer_size,value
104672,line,highway,footway,500,1586.8618529725945
19157,line,highway,tertiary_link,1000,119.5335241596735
67779,line,highway,path,500,71.11814968982938
112834,line,highway,tertiary_link,1000,176.7525912742048
82847,line,highway,footway,1000,9025.200750171234
97925,line,highway,residential,1000,26485.617395281843
12719,line,highway,service,1000,4986.853690126807
89847,line,highway,service,1000,9926.895779695385
124099,line,highway,footway,1000,1941.452119235518
30929,line,highway,secondary,1000,1887.5347729362386
20085,line,highway,cycleway,500,3987.909875748958
101221,line,highway,residential,500,3618.0442661966263
73667,line,highway,residential,500,7533.150808524839
73755,line,highway,service,1000,11309.52190546026
34523,line,highway,cycleway,500,2835.4780281178473
65259,line,highway,residential,100,239.4446304348613
82079,line,highway,cycleway,100,31.126601721335636
70007,line,highway,motorway_link,1000,3009.097932561045
68393,line,highway,service,500,2550.0088698868485
61235,line,waterway,stream,1000,105.80932436153182
114557,line,highway,path,500,109.66530790082902
26561,line,highway,track,1000,91.87049635316858
4417,line,highway,path,1000,562.0024887104278
61015,line,highway,footway,500,3013.8453211990036
1680,line,highway,residential,1000,22677.606029237522
90465,line,highway,service,500,4535.17353694202
19601,line,highway,path,1000,3552.4546674005783
90465,line,highway,path,500,310.4225012297263
78015,line,highway,primary,1000,1575.7548968884812
78015,line,highway,primary,500,397.0351769912849
75739,line,highway,steps,1000,127.07045083715511
83641,line,highway,secondary_link,500,52.05898031757097
79177,line,highway,motorway,500,1870.9927645932385
60833,line,highway,secondary,500,288.70482289991827
93521,line,highway,track,1000,481.56156015044326
19507,line,highway,footway,100,435.56371945188704
19157,line,highway,primary_link,1000,85.31398238947443
104672,line,highway,secondary,500,1133.5961368831968
64795,line,highway,service,100,68.9948486560323
85823,line,highway,residential,100,5.255170764013138
78819,line,highway,tertiary,100,66.47432856035081
19613,line,waterway,stream,500,805.2570932412425
108138,line,highway,unclassified,500,1028.4265641296238
82847,line,highway,secondary,500,234.59772648173043
53329,line,highway,residential,100,178.78242256025283
104460,line,highway,residential,1000,4134.877551932435
86273,line,highway,residential,100,87.42457397291413
76377,line,highway,residential,1000,24983.141406378836
114379,line,highway,tertiary,1000,5430.169869341186
77807,line,highway,unclassified,1000,770.8278213005697
37725,line,highway,residential,100,360.1335594505165
85867,line,highway,service,100,154.95986635818798
85867,line,highway,pedestrian,1000,146.3819301201041
103850,line,highway,residential,500,6245.453556077743
75021,line,highway,residential,500,5450.603318776631
109324,line,highway,motorway_link,1000,2742.4349938100263
61235,line,highway,secondary,500,2078.6387961162277
62419,line,highway,tertiary,1000,4276.763252690589
39665,line,highway,secondary,500,1771.0724435865486
70239,line,highway,service,500,2629.0167327624263
58735,line,highway,tertiary,500,916.1419422366125
28503,line,waterway,stream,1000,277.24881735375226
79715,line,highway,service,500,1363.6637448541055
72817,line,highway,unclassified,1000,3010.0749569657864
9162,line,highway,tertiary,1000,6890.207180947894
9162,line,highway,residential,1000,18061.192074597217
76597,line,highway,primary_link,1000,325.8377986976994
4103,line,highway,footway,500,9377.369339123066
4103,line,highway,path,1000,1022.0087316834868
19157,line,man_made,courtyard,1000,142.10571276325777
136698,line,highway,secondary,500,979.7800460221572
53299,line,highway,residential,500,7674.4028258615135
51569,line,highway,unclassified,1000,676.7903255155045
96087,line,highway,residential,100,379.01192051860744
86383,line,highway,secondary,500,1812.7527452854497
110792,line,waterway,stream,500,1122.8900167462375
86479,line,highway,residential,500,4905.39887557863
96949,line,highway,footway,1000,431.319736991658
90799,line,highway,footway,1000,1335.4937086177094
121601,line,highway,unclassified,500,362.45646441714507
85081,line,highway,secondary,1000,2218.748879415683
109718,line,highway,secondary,100,59.08057337195454
70009,line,highway,motorway_link,1000,4199.637185113314
97693,line,highway,footway,100,37.47643772902443
86911,line,highway,tertiary,1000,2163.4469980129306
65227,line,highway,track,1000,1750.7174907645226
70449,line,highway,primary_link,1000,312.21724997598835
15669,line,highway,residential,500,842.2481780604718
26379,line,highway,residential,100,313.2047610289301
14295,line,waterway,stream,500,1110.1716963743659
22459,line,waterway,stream,1000,333.77471752934434
40827,line,highway,tertiary,500,477.26686776559495
61015,line,highway,pedestrian,1000,1284.0583894839629
6244,line,highway,primary_link,1000,109.21633077441732
79617,line,waterway,drain,1000,1212.703333294016
49327,line,highway,secondary_link,1000,51.127964278609085
119667,line,highway,footway,1000,2651.5316758118097
19601,line,waterway,dam,500,61.78127482259478
60829,line,highway,motorway,500,154.7791920609272
93521,line,waterway,stream,500,1348.9418924726926
4103,line,highway,primary,1000,1456.6305242185956
64763,line,highway,residential,100,199.7307266844401
20165,line,highway,tertiary_link,1000,81.33694924080872
53517,line,highway,footway,1000,41857.40255565679
19511,line,highway,footway,100,670.8922251182494
65223,line,highway,tertiary,100,328.8217645051315
12719,line,man_made,storage_tank,1000,141.0319631811622
50093,line,highway,service,1000,2657.3999167152147
