sensor_id,geom_type,geo_feature,feature_type,buffer_size,value
85641,polygon,landuse,commercial,1000,1273.6683723537271
84721,polygon,building,garage,1000,4175.5299529234635
81541,polygon,building,apartments,1000,24535.014747774563
72607,polygon,amenity,fire_station,1000,832.1771183363403
81541,polygon,building,hotel,1000,683.8937848326976
81541,polygon,building,commercial,500,1621.841207751074
81541,polygon,building,roof,500,7.74818111253773
85641,polygon,building,office,1000,742.8927108453252
81541,polygon,building,garage,500,643.2835069797617
86369,polygon,landuse,residential,1000,5663.776087122289
72607,polygon,landuse,meadow,1000,5487.730120684858
81081,polygon,landuse,grass,1000,7627.7883573991285
66029,polygon,landuse,commercial,1000,100670.19350497474
83499,polygon,amenity,school,500,35741.754519531365
81541,polygon,building,school,1000,32094.287210774706
83499,polygon,building,apartments,1000,6724.7407538575935
86369,polygon,building,house,1000,25829.49433159487
83499,polygon,building,apartments,500,247.1070503056438
83081,polygon,building,house,500,113437.59757469517
81541,polygon,building,house,500,1543.0232994763
83499,polygon,building,house,100,4673.007113418236
83081,polygon,building,residential,1000,48861.512778047916
81541,polygon,landuse,retail,1000,132975.65456023364
81541,polygon,building,shed,1000,956.260746483505
72607,polygon,landuse,residential,1000,2519563.8012410486
81541,polygon,landuse,residential,500,578695.3400664154
72607,polygon,amenity,school,1000,10287.489710545988
86369,polygon,amenity,parking,1000,49589.07204019788
85641,polygon,building,house,500,4825.482733316547
81541,polygon,amenity,shelter,1000,164.9092166732968
66029,polygon,amenity,place_of_worship,1000,679.8782272352497
83499,polygon,building,school,1000,288.0762433270256
72607,polygon,building,school,1000,2546.669713931921
83499,polygon,building,residential,1000,11928.913474625522
81541,polygon,tourism,motel,1000,683.8937848326976
